rom_dim	fom_evals	rel_err	
2.0	7.0	0.624596778195	
4.0	12.0	0.506693049872	
6.0	22.0	0.504626432296	
8.0	24.0	0.0399269709432	
10.0	37.0	0.0283239016715	
12.0	39.0	0.0375845831461	
14.0	42.0	0.0256816816758	
16.0	47.0	0.0154351027843	
18.0	57.0	0.00860604218445	
20.0	72.0	0.00709690845547	
22.0	66.0	0.00480212793254	
24.0	65.0	0.00443540762758	
26.0	71.0	0.00234389920548	
28.0	81.0	0.001802843659	
30.0	86.0	0.00280666938773	
32.0	91.0	0.00147229236127	
34.0	90.0	0.00075160087735	
36.0	94.0	0.00069796371208	
38.0	97.0	0.00067612443466	
40.0	87.0	0.0209270541597	
42.0	103.0	0.000362156154578	
44.0	103.0	0.000307873005348	
46.0	110.0	0.000270215713458	
48.0	99.0	0.000231791397364	
50.0	127.0	0.000197360549275	
